frequency_bin,mask_probability
0,0.0406999998
1,0.0807000026
2,0.1136000007
3,0.1319999993
4,0.1498000026
5,0.1578000039
6,0.1650999933
7,0.1872999966
8,0.2001000047
9,0.2177000046
10,0.2356999964
11,0.2495000064
12,0.2623000145
13,0.2655000091
14,0.2579999864
15,0.2585999966
16,0.2639999986
17,0.2730000019
18,0.3041000068
19,0.3366999924
20,0.3411000073
21,0.3364000022
22,0.3312000036
23,0.3479000032
24,0.3864000142
25,0.4343000054
26,0.4850000143
27,0.5264999866
28,0.5432000160
29,0.5386999846
30,0.5346000195
31,0.5378999710
32,0.5583000183
33,0.5949000120
34,0.6262999773
35,0.6561999917
36,0.6649000049
37,0.6564000249
38,0.6535999775
39,0.6621999741
40,0.6782000065
41,0.6987000108
42,0.7213000059
43,0.7419000268
44,0.7613999844
45,0.7712000012
46,0.7784000039
47,0.7936000228
48,0.8083000183
49,0.8194000125
50,0.8205000162
51,0.8278999925
52,0.8298000097
53,0.8235999942
54,0.8191999793
55,0.8163999915
56,0.8144000173
57,0.8090000153
58,0.8068000078
59,0.7998999953
60,0.7989000082
61,0.7906000018
62,0.7781000137
63,0.7667000294
64,0.7558000088
65,0.7454000115
66,0.7250999808
67,0.7010999918
68,0.6802999973
69,0.6466000080
70,0.6079000235
71,0.5662999749
72,0.5241000056
73,0.4724000096
74,0.4095000029
75,0.3391000032
76,0.2524000108
77,0.1626999974
78,0.0465000011
79,0.0000000000
