frequency_bin,mask_probability
0,0.0920599997
1,0.1750099957
2,0.2474099994
3,0.3157899976
4,0.3764599860
5,0.4303100109
6,0.4794799984
7,0.5232499838
8,0.5645999908
9,0.6007400155
10,0.6323900223
11,0.6619600058
12,0.6870399714
13,0.7097700238
14,0.7321599722
15,0.7508199811
16,0.7669199705
17,0.7817599773
18,0.7955999970
19,0.8075900078
20,0.8187299967
21,0.8287100196
22,0.8369899988
23,0.8444700241
24,0.8508899808
25,0.8567900062
26,0.8615999818
27,0.8657199740
28,0.8701900244
29,0.8728899956
30,0.8743000031
31,0.8765100241
32,0.8769299984
33,0.8764500022
34,0.8761900067
35,0.8765199780
36,0.8766099811
37,0.8774200082
38,0.8770999908
39,0.8768600225
40,0.8766800165
41,0.8776199818
42,0.8768299818
43,0.8774700165
44,0.8768699765
45,0.8765000105
46,0.8770899773
47,0.8753700256
48,0.8733100295
49,0.8708999753
50,0.8678600192
51,0.8629199862
52,0.8580899835
53,0.8538799882
54,0.8472399712
55,0.8395000100
56,0.8308600187
57,0.8215799928
58,0.8120700121
59,0.8007900119
60,0.7885900140
61,0.7742400169
62,0.7599899769
63,0.7423700094
64,0.7227900028
65,0.7020699978
66,0.6760900021
67,0.6487699747
68,0.6189600229
69,0.5847399831
70,0.5468199849
71,0.5043900013
72,0.4569100142
73,0.4053399861
74,0.3482100070
75,0.2845399976
76,0.2129299939
77,0.1336999983
78,0.0470700003
79,0.0000000000
