frequency_bin,mask_probability
0,0.0442899987
1,0.0854300037
2,0.1181999967
3,0.1399700046
4,0.1603000015
5,0.1795700043
6,0.1959699988
7,0.2202599943
8,0.2249599993
9,0.2403499931
10,0.2646200061
11,0.2927300036
12,0.3019700050
13,0.2956399918
14,0.2827300131
15,0.2825500071
16,0.2946000099
17,0.3242200017
18,0.3799700141
19,0.4244799912
20,0.4307200015
21,0.4184800088
22,0.4066900015
23,0.4114100039
24,0.4393900037
25,0.4785400033
26,0.5320199728
27,0.5748800039
28,0.5812500119
29,0.5702499747
30,0.5616700053
31,0.5665000081
32,0.5877199769
33,0.6103500128
34,0.6384699941
35,0.6664400101
36,0.6797199845
37,0.6742299795
38,0.6679700017
39,0.6728299856
40,0.6891599894
41,0.7064399719
42,0.7233200073
43,0.7473700047
44,0.7625100017
45,0.7614499927
46,0.7574099898
47,0.7602800131
48,0.7710400224
49,0.7854800224
50,0.8022900224
51,0.8170300126
52,0.8237199783
53,0.8219199777
54,0.8147500157
55,0.8110200167
56,0.8100100160
57,0.8122100234
58,0.8134999871
59,0.8118799925
60,0.8108400106
61,0.7975800037
62,0.7844799757
63,0.7671399713
64,0.7539399862
65,0.7450299859
66,0.7284500003
67,0.7038300037
68,0.6741200089
69,0.6395000219
70,0.6060199738
71,0.5673499703
72,0.5234299898
73,0.4695400000
74,0.4046199918
75,0.3328199983
76,0.2499600053
77,0.1574999988
78,0.0502200015
79,0.0000000000
