dataset,method,epoch,original_wer,updated_wer,relative_werr,source
TED-LIUM,UFMR,1,0.0854155591,0.0766967925,10.2075,/exp/exp4/acp21rjf/learning-to-augment/exp/results/UFMR/single_epoch/tedlium.txt
TED-LIUM,Random FM,1,,,,
Earnings-22,UFMR,1,0.2351980067,0.1891836693,19.5641,/exp/exp4/acp21rjf/learning-to-augment/exp/results/UFMR/single_epoch/e22.txt
Earnings-22,Random FM,1,0.2351980067,0.1980679288,15.7867,/exp/exp4/acp21rjf/learning-to-augment/exp/results/RFM/singleepoch/e22.txt
Rev16,UFMR,1,0.1725807193,0.1619083607,6.1840,/exp/exp4/acp21rjf/learning-to-augment/exp/results/UFMR/single_epoch/rev16.txt
Rev16,Random FM,1,0.1725807193,0.1657483672,3.9589,/exp/exp4/acp21rjf/learning-to-augment/exp/results/RFM/singleepoch/rev16.txt
TAL,UFMR,1,0.1656883310,0.1585383045,4.3153,/exp/exp4/acp21rjf/learning-to-augment/exp/results/UFMR/single_epoch/TAL.txt
TAL,Random FM,1,0.1656883310,0.1614845891,2.5371,/exp/exp4/acp21rjf/learning-to-augment/exp/results/RFM/singleepoch/TAL.txt
CHiME-6,UFMR,1,0.8436728939,0.6437610152,23.6954,/exp/exp4/acp21rjf/learning-to-augment/exp/results/UFMR/single_epoch/chime6.txt
CHiME-6,Random FM,1,0.8436728939,0.6596052168,21.8174,/exp/exp4/acp21rjf/learning-to-augment/exp/results/RFM/singleepoch/chime6.txt
