frequency_bin,mask_probability
0,0.0370699987
1,0.0706100017
2,0.1036899984
3,0.1238999963
4,0.1413200051
5,0.1492999941
6,0.1604499966
7,0.1804399937
8,0.1981700063
9,0.2076800019
10,0.2201499939
11,0.2376800030
12,0.2502900064
13,0.2447900027
14,0.2377000004
15,0.2361000031
16,0.2441900074
17,0.2592700124
18,0.2954899967
19,0.3304600120
20,0.3384500146
21,0.3322899938
22,0.3245300055
23,0.3423399925
24,0.3892199993
25,0.4482600093
26,0.5116699934
27,0.5609999895
28,0.5759599805
29,0.5681800246
30,0.5599600077
31,0.5647900105
32,0.5820299983
33,0.6101099849
34,0.6395400167
35,0.6656699777
36,0.6784999967
37,0.6722599864
38,0.6626499891
39,0.6655600071
40,0.6851400137
41,0.7050899863
42,0.7284100056
43,0.7512400150
44,0.7697700262
45,0.7748600245
46,0.7773100138
47,0.7883999944
48,0.8034700155
49,0.8178899884
50,0.8282200098
51,0.8411700130
52,0.8488600254
53,0.8494700193
54,0.8467500210
55,0.8452399969
56,0.8463100195
57,0.8448200226
58,0.8418200016
59,0.8351399899
60,0.8313999772
61,0.8177099824
62,0.8043100238
63,0.7915899754
64,0.7819499969
65,0.7669900060
66,0.7473400235
67,0.7257400155
68,0.6975600123
69,0.6676899791
70,0.6297399998
71,0.5839700103
72,0.5348899961
73,0.4813500047
74,0.4146600068
75,0.3395000100
76,0.2553800046
77,0.1547899991
78,0.0499100015
79,0.0000000000
