frequency_bin,mask_probability
0,0.0427500010
1,0.0811700001
2,0.1127299964
3,0.1322000027
4,0.1466200054
5,0.1546799988
6,0.1613599956
7,0.1805000007
8,0.1949499995
9,0.2105599940
10,0.2267400026
11,0.2442000061
12,0.2574400008
13,0.2566199899
14,0.2474700063
15,0.2489400059
16,0.2537800074
17,0.2669799924
18,0.3010300100
19,0.3375599980
20,0.3456099927
21,0.3380900025
22,0.3332000077
23,0.3476699889
24,0.3849900067
25,0.4345700145
26,0.4898099899
27,0.5321000218
28,0.5458499789
29,0.5418900251
30,0.5364800096
31,0.5410199761
32,0.5607100129
33,0.5936899781
34,0.6228500009
35,0.6502900124
36,0.6604400277
37,0.6578400135
38,0.6575700045
39,0.6676300168
40,0.6860600114
41,0.7078199983
42,0.7291600108
43,0.7523099780
44,0.7715700269
45,0.7812100053
46,0.7884200215
47,0.7992900014
48,0.8120300174
49,0.8217499852
50,0.8275099993
51,0.8327699900
52,0.8342199922
53,0.8292899728
54,0.8244299889
55,0.8201199770
56,0.8176800013
57,0.8130900264
58,0.8101000190
59,0.8064100146
60,0.8022800088
61,0.7934200168
62,0.7825199962
63,0.7695099711
64,0.7588300109
65,0.7451699972
66,0.7262399793
67,0.7027199864
68,0.6805300117
69,0.6477199793
70,0.6110000014
71,0.5724499822
72,0.5296400189
73,0.4772599936
74,0.4119499922
75,0.3414900005
76,0.2540499866
77,0.1616100073
78,0.0469399989
79,0.0000000000
