dataset_tag,dataset,split,method,repeat,seed,epochs,lr,result_path,status,original_wer,updated_wer,absolute_delta,relative_delta_pct
tedlium,tedlium,test,UFMR,1,123456,1,1e-5,exp/results/repro/large_asr_transfer/ufmr_rfm_90m_seq2048/results/UFMR/tedlium_epoch1_lr1e-5.txt,complete,0.065426,0.059862,-0.005564,-8.50
tedlium,tedlium,test,UFMR,2,123457,1,1e-5,exp/results/repro/large_asr_transfer/ufmr_rfm_90m_seq2048/results/UFMR/tedlium_epoch1_lr1e-5_repeat2.txt,complete,0.065426,0.058869,-0.006557,-10.02
tedlium,tedlium,test,UFMR,3,123458,1,1e-5,exp/results/repro/large_asr_transfer/ufmr_rfm_90m_seq2048/results/UFMR/tedlium_epoch1_lr1e-5_repeat3.txt,complete,0.065426,0.059614,-0.005813,-8.88
tedlium,tedlium,test,RFM,1,123456,1,1e-5,exp/results/repro/large_asr_transfer/ufmr_rfm_90m_seq2048/results/RFM/tedlium_epoch1_lr1e-5.txt,complete,0.065426,0.060677,-0.004749,-7.26
tedlium,tedlium,test,RFM,2,123457,1,1e-5,exp/results/repro/large_asr_transfer/ufmr_rfm_90m_seq2048/results/RFM/tedlium_epoch1_lr1e-5_repeat2.txt,complete,0.065426,0.059153,-0.006273,-9.59
tedlium,tedlium,test,RFM,3,123458,1,1e-5,exp/results/repro/large_asr_transfer/ufmr_rfm_90m_seq2048/results/RFM/tedlium_epoch1_lr1e-5_repeat3.txt,complete,0.065426,0.060004,-0.005423,-8.29
earnings22,earnings22,test,UFMR,1,123456,1,1e-5,exp/results/repro/large_asr_transfer/ufmr_rfm_90m_seq2048/results/UFMR/earnings22_epoch1_lr1e-5.txt,complete,0.195495,0.149256,-0.046239,-23.65
earnings22,earnings22,test,UFMR,2,123457,1,1e-5,exp/results/repro/large_asr_transfer/ufmr_rfm_90m_seq2048/results/UFMR/earnings22_epoch1_lr1e-5_repeat2.txt,complete,0.195454,0.149051,-0.046402,-23.74
earnings22,earnings22,test,UFMR,3,123458,1,1e-5,exp/results/repro/large_asr_transfer/ufmr_rfm_90m_seq2048/results/UFMR/earnings22_epoch1_lr1e-5_repeat3.txt,complete,0.195474,0.151890,-0.043584,-22.30
earnings22,earnings22,test,RFM,1,123456,1,1e-5,exp/results/repro/large_asr_transfer/ufmr_rfm_90m_seq2048/results/RFM/earnings22_epoch1_lr1e-5.txt,complete,0.195495,0.155954,-0.039540,-20.23
