method,table_method,dataset_tag,dataset,dataset_label,split,epochs,lr,repeat,seed,config_path,result_path,status,result_id,original_wer,updated_wer,wer_delta,relative_delta_pct
UFMR,UFMR,tedlium,tedlium,TED-LIUM,test,1,1e-5,1,123456,exp/results/repro/UFMR/configs/tedlium_epoch1_lr1e-5.yaml,exp/results/repro/UFMR/tedlium_epoch1_lr1e-5.txt,complete,ROB-108-tedlium-test-UFMR-tedlium_epoch1_lr1e-5-repeat1,0.085344675,0.076555024,-0.008789651,-10.30
UFMR,UFMR,tedlium,tedlium,TED-LIUM,test,1,1e-5,2,223456,exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/configs/tedlium_epoch1_lr1e-5_repeat2.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/tedlium_epoch1_lr1e-5_repeat2.txt,complete,ROB-337-tedlium-test-UFMR-epoch1-lr1e-5-repeat2-seed223456,0.085344675,0.076590466,-0.008754209,-10.26
UFMR,UFMR,tedlium,tedlium,TED-LIUM,test,1,1e-5,3,323456,exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/configs/tedlium_epoch1_lr1e-5_repeat3.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/tedlium_epoch1_lr1e-5_repeat3.txt,complete,ROB-337-tedlium-test-UFMR-epoch1-lr1e-5-repeat3-seed323456,0.085344675,0.077547404,-0.007797271,-9.14
UFMR,UFMR,tedlium,tedlium,TED-LIUM,test,5,1e-5,1,123456,exp/results/repro/UFMR/configs/tedlium_epoch5_lr1e-5.yaml,exp/results/repro/UFMR/tedlium_epoch5_lr1e-5.txt,complete,ROB-108-tedlium-test-UFMR-tedlium_epoch5_lr1e-5-repeat1,0.085344675,0.075846181,-0.009498494,-11.13
UFMR,UFMR,tedlium,tedlium,TED-LIUM,test,5,1e-5,2,223456,exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/configs/tedlium_epoch5_lr1e-5_repeat2.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/tedlium_epoch5_lr1e-5_repeat2.txt,complete,ROB-337-tedlium-test-UFMR-epoch5-lr1e-5-repeat2-seed223456,0.085344675,0.077051214,-0.008293461,-9.72
UFMR,UFMR,tedlium,tedlium,TED-LIUM,test,5,1e-5,3,323456,exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/configs/tedlium_epoch5_lr1e-5_repeat3.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/tedlium_epoch5_lr1e-5_repeat3.txt,complete,ROB-337-tedlium-test-UFMR-epoch5-lr1e-5-repeat3-seed323456,0.085344675,0.077370193,-0.007974482,-9.34
UFMR,UFMR,earnings22,earnings22,Earnings-22,test,1,1e-5,1,123456,exp/results/repro/UFMR/configs/earnings22_epoch1_lr1e-5.yaml,exp/results/repro/UFMR/earnings22_epoch1_lr1e-5.txt,complete,ROB-108-earnings22-test-UFMR-earnings22_epoch1_lr1e-5-repeat1,0.235198007,0.185589118,-0.049608888,-21.09
UFMR,UFMR,earnings22,earnings22,Earnings-22,test,1,1e-5,2,223456,exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/configs/earnings22_epoch1_lr1e-5_repeat2.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/earnings22_epoch1_lr1e-5_repeat2.txt,complete,ROB-337-earnings22-test-UFMR-epoch1-lr1e-5-repeat2-seed223456,0.235198007,0.188959010,-0.046238997,-19.66
UFMR,UFMR,earnings22,earnings22,Earnings-22,test,1,1e-5,3,323456,exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/configs/earnings22_epoch1_lr1e-5_repeat3.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/earnings22_epoch1_lr1e-5_repeat3.txt,complete,ROB-337-earnings22-test-UFMR-epoch1-lr1e-5-repeat3-seed323456,0.235218430,0.187406817,-0.047811613,-20.33
UFMR,UFMR,earnings22,earnings22,Earnings-22,test,5,1e-5,1,123456,exp/results/repro/UFMR/configs/earnings22_epoch5_lr1e-5.yaml,exp/results/repro/UFMR/earnings22_epoch5_lr1e-5.txt,complete,ROB-108-earnings22-test-UFMR-earnings22_epoch5_lr1e-5-repeat1,0.235238854,0.186957499,-0.048281355,-20.52
