method,table_method,dataset_tag,dataset,dataset_label,epochs,lr,n,repeats,seeds,original_wer_mean,updated_wer_mean,updated_wer_std,absolute_delta_mean,relative_delta_pct_mean
RFM,RFM,TAL,this_american_life,TAL,1,1e-5,3,"1,2,3","123456,223456,323456",0.165693030,0.161937575,0.000065294,-0.003755455,-2.27
RFM,RFM,TAL,this_american_life,TAL,5,1e-5,3,"1,2,3","123456,223456,323456",0.165691150,0.161267494,0.000453137,-0.004423656,-2.67
RFM,RFM,chime6,chime6,CHiME-6,1,1e-5,3,"1,2,3","123456,223456,323456",0.843602397,0.662689461,0.006161963,-0.180912936,-21.45
RFM,RFM,chime6,chime6,CHiME-6,5,1e-5,3,"1,2,3","123456,223456,323456",0.843608272,0.649882505,0.005079710,-0.193725767,-22.96
RFM,RFM,earnings22,earnings22,Earnings-22,1,1e-5,3,"1,2,3","123456,223456,323456",0.235225238,0.196011955,0.000479991,-0.039213284,-16.67
RFM,RFM,earnings22,earnings22,Earnings-22,5,1e-5,3,"1,2,3","123456,223456,323456",0.235225238,0.184676865,0.001490969,-0.050548373,-21.49
RFM,RFM,rev16,rev16,Rev16,1,1e-5,3,"1,2,3","123456,223456,323456",0.172551783,0.165018153,0.000506769,-0.007533630,-4.37
RFM,RFM,rev16,rev16,Rev16,5,1e-5,3,"1,2,3","123456,223456,323456",0.172553485,0.163969641,0.000182001,-0.008583845,-4.97
RFM,RFM,tedlium,tedlium,TED-LIUM,1,1e-5,3,"1,2,3","123456,223456,323456",0.085344675,0.077795499,0.000557017,-0.007549176,-8.85
RFM,RFM,tedlium,tedlium,TED-LIUM,5,1e-5,3,"1,2,3","123456,223456,323456",0.085344675,0.075846181,0.000122775,-0.009498494,-11.13
RMM,RMM,TAL,this_american_life,TAL,1,1e-5,3,"1,2,3","123456,223456,323456",0.165689271,0.159919816,0.000185504,-0.005769455,-3.48
RMM,RMM,TAL,this_american_life,TAL,5,1e-5,3,"1,2,3","123456,223456,323456",0.165693030,0.155883359,0.000349224,-0.009809671,-5.92
RMM,RMM,chime6,chime6,CHiME-6,1,1e-5,3,"1,2,3","123456,223456,323456",0.843608272,0.824015979,0.017933958,-0.019592292,-2.32
RMM,RMM,chime6,chime6,CHiME-6,5,1e-5,3,"1,2,3","123456,223456,323456",0.843625896,1.000000000,0.000000000,0.156374104,18.54
RMM,RMM,earnings22,earnings22,Earnings-22,1,1e-5,3,"1,2,3","123456,223456,323456",0.235225238,0.196740396,0.000991333,-0.038484842,-16.36
RMM,RMM,earnings22,earnings22,Earnings-22,5,1e-5,3,"1,2,3","123456,223456,323456",0.235211622,0.183471873,0.000459569,-0.051739749,-22.00
RMM,RMM,rev16,rev16,Rev16,1,1e-5,3,"1,2,3","123456,223456,323456",0.172551783,0.164504110,0.000383535,-0.008047673,-4.66
RMM,RMM,rev16,rev16,Rev16,5,1e-5,3,"1,2,3","123456,223456,323456",0.172551783,0.195685440,0.061294397,0.023133656,13.41
RMM,RMM,tedlium,tedlium,TED-LIUM,1,1e-5,3,"1,2,3","123456,223456,323456",0.085344675,0.077712801,0.000266013,-0.007631874,-8.94
RMM,RMM,tedlium,tedlium,TED-LIUM,5,1e-5,3,"1,2,3","123456,223456,323456",0.085344675,0.074995570,0.000093771,-0.010349105,-12.13
UFMR,UFMR,TAL,this_american_life,TAL,1,1e-5,3,"1,2,3","123456,223456,323456",0.165689271,0.158672697,0.000365441,-0.007016574,-4.23
UFMR,UFMR,TAL,this_american_life,TAL,5,1e-5,3,"1,2,3","123456,223456,323456",0.165693030,0.162630210,0.000011395,-0.003062820,-1.85
UFMR,UFMR,chime6,chime6,CHiME-6,1,1e-5,3,"1,2,3","123456,223456,323456",0.843625896,0.637157796,0.006141169,-0.206468100,-24.47
UFMR,UFMR,chime6,chime6,CHiME-6,5,1e-5,3,"1,2,3","123456,223456,323456",0.843602397,0.620790741,0.002834949,-0.222811656,-26.41
UFMR,UFMR,earnings22,earnings22,Earnings-22,1,1e-5,3,"1,2,3","123456,223456,323456",0.235204815,0.187318315,0.001686688,-0.047886500,-20.36
UFMR,UFMR,earnings22,earnings22,Earnings-22,5,1e-5,3,"1,2,3","123456,223456,323456",0.235225238,0.185582311,0.001421507,-0.049642928,-21.10
UFMR,UFMR,rev16,rev16,Rev16,1,1e-5,3,"1,2,3","123456,223456,323456",0.172550081,0.162447936,0.000318253,-0.010102145,-5.85
UFMR,UFMR,rev16,rev16,Rev16,5,1e-5,3,"1,2,3","123456,223456,323456",0.172551783,0.163321129,0.000193527,-0.009230654,-5.35
UFMR,UFMR,tedlium,tedlium,TED-LIUM,1,1e-5,3,"1,2,3","123456,223456,323456",0.085344675,0.076897631,0.000562999,-0.008447044,-9.90
UFMR,UFMR,tedlium,tedlium,TED-LIUM,5,1e-5,3,"1,2,3","123456,223456,323456",0.085344675,0.076755863,0.000803789,-0.008588812,-10.06
UVQLM,UC-MLM,TAL,this_american_life,TAL,1,1e-5,3,"1,2,3","123456,223456,323456",0.165689271,0.159408563,0.000178233,-0.006280708,-3.79
UVQLM,UC-MLM,TAL,this_american_life,TAL,5,1e-5,3,"1,2,3","123456,223456,323456",0.165691150,0.155068549,0.000072010,-0.010622601,-6.41
UVQLM,UC-MLM,chime6,chime6,CHiME-6,1,1e-5,3,"1,2,3","123456,223456,323456",0.843631770,0.819051815,0.014214622,-0.024579955,-2.91
UVQLM,UC-MLM,chime6,chime6,CHiME-6,5,1e-5,3,"1,2,3","123456,223456,323456",0.843602397,0.948825050,0.088637613,0.105222653,12.47
UVQLM,UC-MLM,earnings22,earnings22,Earnings-22,1,1e-5,3,"1,2,3","123456,223456,323456",0.235218430,0.195576251,0.000613728,-0.039642179,-16.85
UVQLM,UC-MLM,earnings22,earnings22,Earnings-22,5,1e-5,3,"1,2,3","123456,223456,323456",0.235218430,0.183165520,0.000581026,-0.052052911,-22.13
UVQLM,UC-MLM,rev16,rev16,Rev16,1,1e-5,3,"1,2,3","123456,223456,323456",0.172551783,0.163622406,0.000183072,-0.008929377,-5.17
