series,dataset,split,epochs,repeats,original_wer,updated_wer,rollout_type
RMM 8e-6/9e-2,tedlium3_segmented_data,test,1,1,0.0958641953,0.0898394585,cpu_rollout_search
RMM 8e-6/9e-2,tedlium3_segmented_data,test,1,2,0.0958641953,0.0893433037,cpu_rollout_search
RMM 8e-6/9e-2,tedlium3_segmented_data,test,1,3,0.0958641953,0.0889889074,cpu_rollout_search
RMM 8e-6/9e-2,tedlium3_segmented_data,test,1,4,0.0958641953,0.0889180281,cpu_rollout_search
RMM 8e-6/9e-2,tedlium3_segmented_data,test,1,5,0.0958641953,0.0888471489,cpu_rollout_search
RMM 8e-6/9e-2,tedlium3_segmented_data,test,1,10,0.0958641953,0.0882801148,cpu_rollout_search
RMM 8e-6/9e-2,tedlium3_segmented_data,test,1,20,0.0958641953,0.0873232449,cpu_rollout_search
RMM 8e-6/9e-2,tedlium3_segmented_data,test,1,50,0.0958641953,0.0878902789,cpu_rollout_search
RFM 8e-6/9e-2,tedlium3_segmented_data,test,1,1,0.0958641953,0.0920367155,cpu_rollout_search
RFM 8e-6/9e-2,tedlium3_segmented_data,test,1,2,0.0958641953,0.0918240777,cpu_rollout_search
RFM 8e-6/9e-2,tedlium3_segmented_data,test,1,3,0.0958641953,0.0906900096,cpu_rollout_search
RFM 8e-6/9e-2,tedlium3_segmented_data,test,1,4,0.0958641953,0.0908672077,cpu_rollout_search
RFM 8e-6/9e-2,tedlium3_segmented_data,test,1,5,0.0958641953,0.0915760003,cpu_rollout_search
RFM 8e-6/9e-2,tedlium3_segmented_data,test,1,10,0.0958641953,0.0894141829,cpu_rollout_search
RFM 8e-6/9e-2,tedlium3_segmented_data,test,1,20,0.0958641953,0.0908672077,cpu_rollout_search
RFM 8e-6/9e-2,tedlium3_segmented_data,test,1,50,0.0958641953,0.0900520963,cpu_rollout_search
RMM 1e-5/2e-1,tedlium3_segmented_data,test,1,1,0.0958287557,0.0907608888,cpu_rollout_search
RMM 1e-5/2e-1,tedlium3_segmented_data,test,1,2,0.0958641953,0.0899812170,cpu_rollout_search
RMM 1e-5/2e-1,tedlium3_segmented_data,test,1,3,0.0958287557,0.0893433037,cpu_rollout_search
RMM 1e-5/2e-1,tedlium3_segmented_data,test,1,4,0.0958287557,0.0896977000,cpu_rollout_search
RMM 1e-5/2e-1,tedlium3_segmented_data,test,1,5,0.0958641953,0.0874295637,cpu_rollout_search
RMM 1e-5/2e-1,tedlium3_segmented_data,test,1,10,0.0958287557,0.0874650034,cpu_rollout_search
RMM 1e-5/2e-1,tedlium3_segmented_data,test,1,20,0.0958287557,0.0867916504,cpu_rollout_search
RMM 1e-5/2e-1,tedlium3_segmented_data,test,1,50,0.0958287557,0.0856930219,cpu_rollout_search
RFM 1e-5/2e-1,tedlium3_segmented_data,test,1,1,0.0958641953,0.0920721551,cpu_rollout_search
RFM 1e-5/2e-1,tedlium3_segmented_data,test,1,2,0.0958641953,0.0917886381,cpu_rollout_search
RFM 1e-5/2e-1,tedlium3_segmented_data,test,1,3,0.0958287557,0.0921430343,cpu_rollout_search
RFM 1e-5/2e-1,tedlium3_segmented_data,test,1,4,0.0958641953,0.0904419322,cpu_rollout_search
RFM 1e-5/2e-1,tedlium3_segmented_data,test,1,5,0.0958287557,0.0898394585,cpu_rollout_search
RFM 1e-5/2e-1,tedlium3_segmented_data,test,1,10,0.0958287557,0.0904773718,cpu_rollout_search
RFM 1e-5/2e-1,tedlium3_segmented_data,test,1,20,0.0958287557,0.0901229755,cpu_rollout_search
RFM 1e-5/2e-1,tedlium3_segmented_data,test,1,50,0.0958641953,0.0884218733,cpu_rollout_search
RMM 8e-6/2e-1,tedlium3_segmented_data,test,1,1,0.0958641953,0.0903001737,cpu_rollout_search
RMM 8e-6/2e-1,tedlium3_segmented_data,test,1,2,0.0958641953,0.0906545699,cpu_rollout_search
RMM 8e-6/2e-1,tedlium3_segmented_data,test,1,3,0.0958287557,0.0890243470,cpu_rollout_search
RMM 8e-6/2e-1,tedlium3_segmented_data,test,1,4,0.0958641953,0.0878548393,cpu_rollout_search
