condition,label,reward,dataset_tag,dataset,split,method,repeat,seed,epochs,lr,config_path,result_path,status,original_wer,updated_wer,wer_delta,relative_delta_pct
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,tedlium,tedlium,test,RewardConditionedMaskLMReward1,1,123456,1,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/tedlium_test_epoch1_lr1e-5.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/tedlium_test_epoch1_lr1e-5.txt,complete,0.085345,0.078292,-0.007053,-8.26
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,tedlium,tedlium,test,RewardConditionedMaskLMReward1,1,123456,5,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/tedlium_test_epoch5_lr1e-5.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/tedlium_test_epoch5_lr1e-5.txt,complete,0.085345,0.076236,-0.009109,-10.67
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,earnings22,earnings22,test,RewardConditionedMaskLMReward1,1,123456,1,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/earnings22_test_epoch1_lr1e-5.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/earnings22_test_epoch1_lr1e-5.txt,complete,0.235218,0.194004,-0.041215,-17.52
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,earnings22,earnings22,test,RewardConditionedMaskLMReward1,1,123456,5,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/earnings22_test_epoch5_lr1e-5.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/earnings22_test_epoch5_lr1e-5.txt,complete,0.235198,0.186386,-0.048812,-20.75
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,chime6,chime6,test,RewardConditionedMaskLMReward1,1,123456,1,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/chime6_test_epoch1_lr1e-5.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/chime6_test_epoch1_lr1e-5.txt,complete,0.843620,0.830649,-0.012971,-1.54
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,chime6,chime6,test,RewardConditionedMaskLMReward1,1,123456,5,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/chime6_test_epoch5_lr1e-5.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/chime6_test_epoch5_lr1e-5.txt,complete,0.843620,1.000000,0.156380,18.54
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,rev16,rev16,test,RewardConditionedMaskLMReward1,1,123456,1,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/rev16_test_epoch1_lr1e-5.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/rev16_test_epoch1_lr1e-5.txt,complete,0.172509,0.163599,-0.008911,-5.17
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,rev16,rev16,test,RewardConditionedMaskLMReward1,1,123456,5,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/rev16_test_epoch5_lr1e-5.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/rev16_test_epoch5_lr1e-5.txt,complete,0.172504,0.159958,-0.012546,-7.27
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,TAL,this_american_life,test,RewardConditionedMaskLMReward1,1,123456,1,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/TAL_test_epoch1_lr1e-5.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/TAL_test_epoch1_lr1e-5.txt,complete,0.165702,0.159077,-0.006626,-4.00
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,TAL,this_american_life,test,RewardConditionedMaskLMReward1,1,123456,5,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/TAL_test_epoch5_lr1e-5.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/TAL_test_epoch5_lr1e-5.txt,complete,0.165702,0.155694,-0.010009,-6.04
