condition,label,reward,dataset_tag,dataset,split,method,repeat,seed,epochs,lr,config_path,result_path,status,original_wer,updated_wer,wer_delta,relative_delta_pct
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,tedlium,tedlium,test,RewardConditionedMaskLMReward1,1,123456,1,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/tedlium_test_epoch1_lr1e-5.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/tedlium_test_epoch1_lr1e-5.txt,complete,0.085345,0.078292,-0.007053,-8.26
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,tedlium,tedlium,test,RewardConditionedMaskLMReward1,1,123456,5,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/tedlium_test_epoch5_lr1e-5.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/tedlium_test_epoch5_lr1e-5.txt,complete,0.085345,0.076236,-0.009109,-10.67
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,tedlium,tedlium,test,RewardConditionedMaskLMReward1,2,123457,1,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/tedlium_test_epoch1_lr1e-5_repeat2.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/tedlium_test_epoch1_lr1e-5_repeat2.txt,complete,0.085345,0.077654,-0.007691,-9.01
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,tedlium,tedlium,test,RewardConditionedMaskLMReward1,2,123457,5,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/tedlium_test_epoch5_lr1e-5_repeat2.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/tedlium_test_epoch5_lr1e-5_repeat2.txt,complete,0.085345,0.075634,-0.009711,-11.38
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,tedlium,tedlium,test,RewardConditionedMaskLMReward1,3,123458,1,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/tedlium_test_epoch1_lr1e-5_repeat3.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/tedlium_test_epoch1_lr1e-5_repeat3.txt,complete,0.085345,0.077618,-0.007726,-9.05
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,tedlium,tedlium,test,RewardConditionedMaskLMReward1,3,123458,5,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/tedlium_test_epoch5_lr1e-5_repeat3.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/tedlium_test_epoch5_lr1e-5_repeat3.txt,complete,0.085345,0.075811,-0.009534,-11.17
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,earnings22,earnings22,test,RewardConditionedMaskLMReward1,1,123456,1,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/earnings22_test_epoch1_lr1e-5.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/earnings22_test_epoch1_lr1e-5.txt,complete,0.235218,0.194004,-0.041215,-17.52
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,earnings22,earnings22,test,RewardConditionedMaskLMReward1,1,123456,5,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/earnings22_test_epoch5_lr1e-5.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/earnings22_test_epoch5_lr1e-5.txt,complete,0.235198,0.186386,-0.048812,-20.75
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,earnings22,earnings22,test,RewardConditionedMaskLMReward1,2,123457,1,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/earnings22_test_epoch1_lr1e-5_repeat2.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/earnings22_test_epoch1_lr1e-5_repeat2.txt,complete,0.235218,0.197353,-0.037865,-16.10
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,earnings22,earnings22,test,RewardConditionedMaskLMReward1,2,123457,5,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/earnings22_test_epoch5_lr1e-5_repeat2.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/earnings22_test_epoch5_lr1e-5_repeat2.txt,complete,0.235239,0.187693,-0.047546,-20.21
