method,conditioning,repeat,seed,epochs,lr,result_path,status,original_wer,updated_wer,absolute_delta,relative_delta_pct
CMultiStepVQLM,fixed_1.0,1,123456,1,5e-6,exp/results/repro/sweeps/no_audio_cmultistep_vqlm/CMultiStepVQLM/tedlium_dev_epoch1_lr5e-6.txt,complete,0.100088,0.090140,-0.009948,-9.94
CMultiStepVQLM,fixed_1.0,1,123456,1,1e-5,exp/results/repro/sweeps/no_audio_cmultistep_vqlm/CMultiStepVQLM/tedlium_dev_epoch1_lr1e-5.txt,complete,0.100088,0.090030,-0.010059,-10.05
CMultiStepVQLM,fixed_1.0,1,123456,1,2e-5,exp/results/repro/sweeps/no_audio_cmultistep_vqlm/CMultiStepVQLM/tedlium_dev_epoch1_lr2e-5.txt,complete,0.100088,0.089256,-0.010832,-10.82
CMultiStepVQLM,fixed_1.0,1,123456,5,5e-6,exp/results/repro/sweeps/no_audio_cmultistep_vqlm/CMultiStepVQLM/tedlium_dev_epoch5_lr5e-6.txt,complete,0.100088,0.087488,-0.012601,-12.59
CMultiStepVQLM,fixed_1.0,1,123456,5,1e-5,exp/results/repro/sweeps/no_audio_cmultistep_vqlm/CMultiStepVQLM/tedlium_dev_epoch5_lr1e-5.txt,complete,0.100088,0.087322,-0.012767,-12.76
CMultiStepVQLM,fixed_1.0,1,123456,5,2e-5,exp/results/repro/sweeps/no_audio_cmultistep_vqlm/CMultiStepVQLM/tedlium_dev_epoch5_lr2e-5.txt,complete,0.100088,0.090251,-0.009838,-9.83
CMultiStepVQLM,fixed_1.0,2,123457,1,5e-6,exp/results/repro/sweeps/no_audio_cmultistep_vqlm/CMultiStepVQLM/tedlium_dev_epoch1_lr5e-6_repeat2.txt,complete,0.100088,0.089035,-0.011053,-11.04
CMultiStepVQLM,fixed_1.0,2,123457,1,1e-5,exp/results/repro/sweeps/no_audio_cmultistep_vqlm/CMultiStepVQLM/tedlium_dev_epoch1_lr1e-5_repeat2.txt,complete,0.100088,0.089975,-0.010114,-10.10
CMultiStepVQLM,fixed_1.0,2,123457,1,2e-5,exp/results/repro/sweeps/no_audio_cmultistep_vqlm/CMultiStepVQLM/tedlium_dev_epoch1_lr2e-5_repeat2.txt,complete,0.100088,0.089532,-0.010556,-10.55
CMultiStepVQLM,fixed_1.0,2,123457,5,5e-6,exp/results/repro/sweeps/no_audio_cmultistep_vqlm/CMultiStepVQLM/tedlium_dev_epoch5_lr5e-6_repeat2.txt,complete,0.100088,0.087045,-0.013043,-13.03
CMultiStepVQLM,fixed_1.0,2,123457,5,1e-5,exp/results/repro/sweeps/no_audio_cmultistep_vqlm/CMultiStepVQLM/tedlium_dev_epoch5_lr1e-5_repeat2.txt,complete,0.100088,0.087488,-0.012601,-12.59
CMultiStepVQLM,fixed_1.0,2,123457,5,2e-5,exp/results/repro/sweeps/no_audio_cmultistep_vqlm/CMultiStepVQLM/tedlium_dev_epoch5_lr2e-5_repeat2.txt,complete,0.100088,0.088317,-0.011772,-11.76
CMultiStepVQLMRandomReward,uniform_0.5_1.0,1,123456,1,5e-6,exp/results/repro/sweeps/no_audio_cmultistep_vqlm/CMultiStepVQLMRandomReward/tedlium_dev_epoch1_lr5e-6.txt,complete,0.100088,0.089975,-0.010114,-10.10
CMultiStepVQLMRandomReward,uniform_0.5_1.0,1,123456,1,1e-5,exp/results/repro/sweeps/no_audio_cmultistep_vqlm/CMultiStepVQLMRandomReward/tedlium_dev_epoch1_lr1e-5.txt,complete,0.100088,0.089809,-0.010280,-10.27
CMultiStepVQLMRandomReward,uniform_0.5_1.0,1,123456,1,2e-5,exp/results/repro/sweeps/no_audio_cmultistep_vqlm/CMultiStepVQLMRandomReward/tedlium_dev_epoch1_lr2e-5.txt,complete,0.100088,0.087930,-0.012159,-12.15
CMultiStepVQLMRandomReward,uniform_0.5_1.0,1,123456,5,5e-6,exp/results/repro/sweeps/no_audio_cmultistep_vqlm/CMultiStepVQLMRandomReward/tedlium_dev_epoch5_lr5e-6.txt,complete,0.100088,0.085774,-0.014314,-14.30
CMultiStepVQLMRandomReward,uniform_0.5_1.0,1,123456,5,1e-5,exp/results/repro/sweeps/no_audio_cmultistep_vqlm/CMultiStepVQLMRandomReward/tedlium_dev_epoch5_lr1e-5.txt,complete,0.100088,0.086603,-0.013485,-13.47
CMultiStepVQLMRandomReward,uniform_0.5_1.0,1,123456,5,2e-5,exp/results/repro/sweeps/no_audio_cmultistep_vqlm/CMultiStepVQLMRandomReward/tedlium_dev_epoch5_lr2e-5.txt,complete,0.100088,0.088096,-0.011993,-11.98
CMultiStepVQLMRandomReward,uniform_0.5_1.0,2,123457,1,5e-6,exp/results/repro/sweeps/no_audio_cmultistep_vqlm/CMultiStepVQLMRandomReward/tedlium_dev_epoch1_lr5e-6_repeat2.txt,complete,0.100088,0.089698,-0.010390,-10.38
CMultiStepVQLMRandomReward,uniform_0.5_1.0,2,123457,1,1e-5,exp/results/repro/sweeps/no_audio_cmultistep_vqlm/CMultiStepVQLMRandomReward/tedlium_dev_epoch1_lr1e-5_repeat2.txt,complete,0.100088,0.089477,-0.010611,-10.60
CMultiStepVQLMRandomReward,uniform_0.5_1.0,2,123457,1,2e-5,exp/results/repro/sweeps/no_audio_cmultistep_vqlm/CMultiStepVQLMRandomReward/tedlium_dev_epoch1_lr2e-5_repeat2.txt,complete,0.100088,0.091577,-0.008511,-8.50
CMultiStepVQLMRandomReward,uniform_0.5_1.0,2,123457,5,5e-6,exp/results/repro/sweeps/no_audio_cmultistep_vqlm/CMultiStepVQLMRandomReward/tedlium_dev_epoch5_lr5e-6_repeat2.txt,complete,0.100088,0.088703,-0.011385,-11.37
CMultiStepVQLMRandomReward,uniform_0.5_1.0,2,123457,5,1e-5,exp/results/repro/sweeps/no_audio_cmultistep_vqlm/CMultiStepVQLMRandomReward/tedlium_dev_epoch5_lr1e-5_repeat2.txt,complete,0.100088,0.088261,-0.011827,-11.82
CMultiStepVQLMRandomReward,uniform_0.5_1.0,2,123457,5,2e-5,exp/results/repro/sweeps/no_audio_cmultistep_vqlm/CMultiStepVQLMRandomReward/tedlium_dev_epoch5_lr2e-5_repeat2.txt,complete,0.100088,0.089367,-0.010722,-10.71
