method,repeat,seed,epochs,lr,result_path,status,original_wer,updated_wer,absolute_delta,relative_delta_pct
RFM,1,123456,1,5e-6,exp/results/repro/sweeps/RFM/tedlium_dev_epoch1_lr5e-6.txt,complete,0.100088,0.090638,-0.009451,-9.44
RFM,1,123456,1,1e-5,exp/results/repro/sweeps/RFM/tedlium_dev_epoch1_lr1e-5.txt,complete,0.100088,0.090527,-0.009561,-9.55
RFM,1,123456,1,2e-5,exp/results/repro/sweeps/RFM/tedlium_dev_epoch1_lr2e-5.txt,complete,0.100088,0.089864,-0.010224,-10.22
RFM,1,123456,5,5e-6,exp/results/repro/sweeps/RFM/tedlium_dev_epoch5_lr5e-6.txt,complete,0.100088,0.087930,-0.012159,-12.15
RFM,1,123456,5,1e-5,exp/results/repro/sweeps/RFM/tedlium_dev_epoch5_lr1e-5.txt,complete,0.100088,0.087653,-0.012435,-12.42
RFM,1,123456,5,2e-5,exp/results/repro/sweeps/RFM/tedlium_dev_epoch5_lr2e-5.txt,complete,0.100088,0.089919,-0.010169,-10.16
RFM,2,123457,1,5e-6,exp/results/repro/sweeps/RFM/tedlium_dev_epoch1_lr5e-6_repeat2.txt,complete,0.100088,0.091467,-0.008622,-8.61
RFM,2,123457,1,1e-5,exp/results/repro/sweeps/RFM/tedlium_dev_epoch1_lr1e-5_repeat2.txt,complete,0.100088,0.090693,-0.009395,-9.39
RFM,2,123457,1,2e-5,exp/results/repro/sweeps/RFM/tedlium_dev_epoch1_lr2e-5_repeat2.txt,complete,0.100088,0.090196,-0.009893,-9.88
RFM,2,123457,5,5e-6,exp/results/repro/sweeps/RFM/tedlium_dev_epoch5_lr5e-6_repeat2.txt,complete,0.100088,0.086106,-0.013983,-13.97
RFM,2,123457,5,1e-5,exp/results/repro/sweeps/RFM/tedlium_dev_epoch5_lr1e-5_repeat2.txt,complete,0.100088,0.087874,-0.012214,-12.20
RFM,2,123457,5,2e-5,exp/results/repro/sweeps/RFM/tedlium_dev_epoch5_lr2e-5_repeat2.txt,complete,0.100088,0.089698,-0.010390,-10.38
RMM,1,123456,1,5e-6,exp/results/repro/sweeps/RMM/tedlium_dev_epoch1_lr5e-6.txt,complete,0.100088,0.088925,-0.011164,-11.15
RMM,1,123456,1,1e-5,exp/results/repro/sweeps/RMM/tedlium_dev_epoch1_lr1e-5.txt,complete,0.100088,0.089643,-0.010445,-10.44
RMM,1,123456,1,2e-5,exp/results/repro/sweeps/RMM/tedlium_dev_epoch1_lr2e-5.txt,complete,0.100088,0.089367,-0.010722,-10.71
RMM,1,123456,5,5e-6,exp/results/repro/sweeps/RMM/tedlium_dev_epoch5_lr5e-6.txt,complete,0.100088,0.086051,-0.014038,-14.03
RMM,1,123456,5,1e-5,exp/results/repro/sweeps/RMM/tedlium_dev_epoch5_lr1e-5.txt,complete,0.100088,0.087377,-0.012711,-12.70
RMM,1,123456,5,2e-5,exp/results/repro/sweeps/RMM/tedlium_dev_epoch5_lr2e-5.txt,complete,0.100088,0.087543,-0.012546,-12.53
