2024-11-26 16:57:40,520 INFO    MainThread:35117 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-11-26 16:57:40,521 INFO    MainThread:35117 [wandb_setup.py:_flush():79] Configure stats pid to 35117
2024-11-26 16:57:40,521 INFO    MainThread:35117 [wandb_setup.py:_flush():79] Loading settings from /users/acp21rjf/.config/wandb/settings
2024-11-26 16:57:40,521 INFO    MainThread:35117 [wandb_setup.py:_flush():79] Loading settings from /users/acp21rjf/learning-to-augment/exp/wandb/settings
2024-11-26 16:57:40,521 INFO    MainThread:35117 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-26 16:57:40,521 INFO    MainThread:35117 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-26 16:57:40,521 INFO    MainThread:35117 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'exp/train.py', 'program_abspath': '/users/acp21rjf/learning-to-augment/exp/train.py', 'program': '/users/acp21rjf/learning-to-augment/exp/train.py'}
2024-11-26 16:57:40,521 INFO    MainThread:35117 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-26 16:57:40,521 INFO    MainThread:35117 [wandb_init.py:_log_setup():533] Logging user logs to /users/acp21rjf/learning-to-augment/exp/wandb/run-20241126_165740-fgg055nw/logs/debug.log
2024-11-26 16:57:40,521 INFO    MainThread:35117 [wandb_init.py:_log_setup():534] Logging internal logs to /users/acp21rjf/learning-to-augment/exp/wandb/run-20241126_165740-fgg055nw/logs/debug-internal.log
2024-11-26 16:57:40,521 INFO    MainThread:35117 [wandb_init.py:init():619] calling init triggers
2024-11-26 16:57:40,521 INFO    MainThread:35117 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {}
2024-11-26 16:57:40,521 INFO    MainThread:35117 [wandb_init.py:init():669] starting backend
2024-11-26 16:57:40,521 INFO    MainThread:35117 [wandb_init.py:init():673] sending inform_init request
2024-11-26 16:57:40,525 INFO    MainThread:35117 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-11-26 16:57:40,526 INFO    MainThread:35117 [wandb_init.py:init():686] backend started and connected
2024-11-26 16:57:40,534 INFO    MainThread:35117 [wandb_init.py:init():781] updated telemetry
2024-11-26 16:57:40,581 INFO    MainThread:35117 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-26 16:57:41,009 INFO    MainThread:35117 [wandb_init.py:init():867] starting run threads in backend
2024-11-26 16:57:42,006 INFO    MainThread:35117 [wandb_run.py:_console_start():2456] atexit reg
2024-11-26 16:57:42,006 INFO    MainThread:35117 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-11-26 16:57:42,007 INFO    MainThread:35117 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-11-26 16:57:42,007 INFO    MainThread:35117 [wandb_run.py:_redirect():2395] Redirects installed.
2024-11-26 16:57:42,010 INFO    MainThread:35117 [wandb_init.py:init():911] run started, returning control to user process
2024-11-26 17:01:08,992 WARNING MsgRouterThr:35117 [router.py:message_loop():75] message_loop has been closed
